Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Rene Corbet,L,L,68.00,9.00,14.00,23.00,-9.00,70.00,0.34,8.00,19.00,1.00,4.00,0.00,0.00,0.00,0.00,145.00,6.2,13:38,45.8
Yves Courteau,L,R,18.00,2.00,5.00,7.00,2.00,4.00,0.39,2.00,7.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,8,--,--
Jeff Cowan,L,L,83.00,14.00,5.00,19.00,-9.00,130.00,0.23,12.00,16.00,2.00,3.00,0.00,0.00,0.00,2.00,87.00,16.1,8:59,28.6
Craig Coxe,L,L,7.00,2.00,3.00,5.00,3.00,32.00,0.71,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,40,--,--
Mark Cundari,L,D,8.00,1.00,2.00,3.00,-6.00,2.00,0.38,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,14.00,7.1,15:17,--
Tony Curtale,L,D,2.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0,--,--
Denis Cyr,L,R,66.00,14.00,15.00,29.00,8.00,13.00,0.44,12.00,22.00,2.00,7.00,0.00,0.00,0.00,2.00,96.00,14.6,--,--
Austin Czarnik,R,C,62.00,8.00,13.00,21.00,0.00,8.00,0.34,7.00,17.00,1.00,4.00,0.00,0.00,0.00,3.00,74.00,10.8,11:11,45.7
Kevin Dahl,R,D,179.00,7.00,22.00,29.00,10.00,149.00,0.16,6.00,27.00,1.00,2.00,0.00,0.00,0.00,1.00,124.00,5.7,--,0
Chris Dahlquist,L,D,151.00,4.00,18.00,22.00,5.00,118.00,0.15,4.00,19.00,0.00,1.00,0.00,2.00,0.00,1.00,121.00,3.3,--,--
Brandon Davidson,L,D,7.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0,12:16,--
Nigel Dawes,L,L,66.00,14.00,18.00,32.00,1.00,18.00,0.48,10.00,23.00,4.00,9.00,0.00,0.00,0.00,2.00,96.00,14.6,14:32,0
Dale Degray,R,D,28.00,6.00,7.00,13.00,-4.00,29.00,0.46,6.00,12.00,0.00,1.00,0.00,0.00,0.00,1.00,58.00,10.3,--,--
Guillaume Desbiens,R,R,10.00,0.00,0.00,0.00,-1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0,7:07,50
Raphael Diaz,R,D,56.00,2.00,2.00,4.00,-3.00,10.00,0.07,1.00,3.00,1.00,1.00,0.00,0.00,0.00,1.00,52.00,3.9,12:01,--
Chris Dingman,L,L,72.00,3.00,3.00,6.00,-13.00,166.00,0.08,2.00,5.00,1.00,1.00,0.00,0.00,0.00,0.00,48.00,6.3,7:37,41.7
Bobby Dollas,L,D,49.00,3.00,7.00,10.00,4.00,28.00,0.20,2.00,9.00,1.00,1.00,0.00,0.00,0.00,0.00,36.00,8.3,20:09,--
Robert Dome,L,L,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,8:16,--
Hnat Domenichelli,L,L,96.00,20.00,23.00,43.00,1.00,31.00,0.45,15.00,34.00,5.00,9.00,0.00,0.00,0.00,2.00,188.00,10.6,--,44.7
Shean Donovan,R,R,175.00,28.00,37.00,65.00,21.00,161.00,0.37,21.00,55.00,3.00,5.00,4.00,5.00,2.00,9.00,292.00,9.6,13:33,37.8
Jim Dowd,R,C,48.00,6.00,8.00,14.00,10.00,12.00,0.29,5.00,12.00,0.00,1.00,1.00,1.00,0.00,0.00,58.00,10.3,12:43,44.5
