Player,Hand,Pos,GamesPlayed,G,A,P,PlusMinus,PenaltyMins,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,Intials,GoalsPerGame,GoalsNorm,GWGNorm,PIMNorm,PluMinNorm,AvGPGNorm,Rating
Ken Houston,R,R,192,60,68,128,-3,284,0.67,49,108,11,20,0,0,0,8,398,KH,0.3125,0.11259542,0.096385542,0.113664856,0.171232877,0.551853216,0.257460628
Eric Vail,L,L,147,60,62,122,12,45,0.83,41,89,19,32,0,1,0,9,365,EV,0.408163265,0.11259542,0.108433735,0.013790221,0.22260274,0.725897428,0.353077336
Matt Stajan,L,C,558,59,131,190,-1,279,0.34,55,172,0,6,4,12,2,10,533,MS,0.105734767,0.110687023,0.120481928,0.111575428,0.178082192,0.175676508,0.119265184
Olli Jokinen,L,C,236,59,106,165,-34,169,0.7,40,108,19,57,0,0,0,9,660,OJ,0.25,0.110687023,0.108433735,0.065608023,0.065068493,0.43814433,0.227421697
Ronnie Stern,R,R,396,59,66,125,12,1288,0.32,55,118,1,2,3,5,1,7,529,RS,0.148989899,0.110687023,0.084337349,0.533221897,0.22260274,0.254372394,0.048341955
Elias Lindholm,R,C,151,56,76,132,22,42,0.87,38,83,17,45,1,4,1,12,351,EL,0.370860927,0.104961832,0.144578313,0.012536565,0.256849315,0.658031711,0.343490711
Bob MacMillan,L,R,177,54,81,135,10,71,0.76,42,107,5,20,7,8,0,6,357,BMM,0.305084746,0.101145038,0.072289157,0.024655244,0.215753425,0.538362331,0.256672966
Phil Housley,L,D,328,50,188,238,2,140,0.73,32,117,18,121,0,0,1,4,774,PH,0.152439024,0.09351145,0.048192771,0.053489344,0.188356164,0.260647533,0.127008675
Tim Hunter,R,R,545,49,59,108,12,2405,0.2,46,102,3,6,0,0,0,6,471,TH,0.089908257,0.091603053,0.072289157,1,0.22260274,0.146882671,-0.095942048
Don Lever,L,C,113,48,58,106,11,66,0.94,40,88,6,16,2,2,0,5,286,DL,0.424778761,0.089694656,0.060240964,0.022565817,0.219178082,0.7561267,0.337027464
TJ Brodie,L,D,634,48,218,266,14,194,0.42,35,191,10,65,3,10,6,12,768,TJB,0.075709779,0.089694656,0.144578313,0.076055161,0.229452055,0.121050781,0.114467903
Mel Bridgman,L,C,142,45,80,125,16,197,0.88,28,86,15,36,2,3,0,4,272,MB,0.316901408,0.083969466,0.048192771,0.077308817,0.23630137,0.559860884,0.240975922
Richard Kromm,L,L,189,43,61,104,42,90,0.55,42,103,1,1,0,0,0,7,303,RK,0.227513228,0.080152672,0.084337349,0.032595069,0.325342466,0.397233196,0.202558207
