Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Curtis Lazar,R,C,70,3,12,15,-7,23,0.21,3,15,0,0,0,0,0,1,67,4.5,9:54,41.6
Patrick Lebeau,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
Mike Leclerc,L,L,15,1,4,5,0,8,0.33,1,4,0,1,0,0,0,0,21,4.8,12:14,0
Gary Leeman,R,R,59,11,12,23,-6,37,0.39,10,18,1,5,0,0,0,2,99,11.1,--,--
Jocelyn Lemieux,L,R,20,4,4,8,-1,10,0.4,4,8,0,0,0,0,0,0,27,14.8,--,--
Jordan Leopold,L,D,233,16,55,71,-6,110,0.3,5,34,11,36,0,1,0,2,328,4.9,21:45,--
Rick Lessard,L,D,7,0,2,2,-3,2,0.29,0,2,0,0,0,0,0,0,0,--,--,--
Alan Letang,L,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,--,11:06,--
Pierre-Luc Letourneau-Leblond,L,R,3,0,0,0,1,10,0,0,0,0,0,0,0,0,0,3,0,4:51,--
Don Lever,L,C,113,48,58,106,11,66,0.94,40,88,6,16,2,2,0,5,286,16.8,--,--
Chris Lindberg,L,L,79,11,17,28,0,35,0.35,10,24,1,1,0,3,0,1,93,11.8,--,--
Elias Lindholm,R,C,151,56,76,132,22,42,0.87,38,83,17,45,1,4,1,12,351,16,19:53,52
Bill Lindsay,L,L,132,9,21,30,-15,183,0.23,9,26,0,2,0,2,0,2,204,4.4,11:59,43.2
Matthew Lombardi,L,C,347,65,102,167,18,225,0.48,43,120,11,34,11,13,1,17,678,9.6,15:49,49.4
Ryan Lomberg,L,L,11,0,1,1,0,32,0.09,0,1,0,0,0,0,0,0,6,0,6:31,0
Hakan Loob,L,R,450,193,236,429,103,189,0.95,142,293,42,117,9,19,1,17,"1,126",17.1,--,--
